cedula,nombre,sexo,fecha_nacimiento,fecha_ingreso,sueldo,reserva_jubilacion,reserva_desahucio
1304567890,Martha Delgado Mendoza,F,1966-04-12,1984-10-01,1450.00,42000.00,14500.00
1308765432,Gloria Loor Zambrano,F,1968-08-25,1991-03-15,1280.00,35000.00,10500.00
1309876543,Rosa Cedeño Macías,F,1970-11-03,1996-02-01,1150.00,28000.00,8200.00
1305432198,Carlos Moreira Vélez,M,1965-01-18,1998-07-15,1300.00,31000.00,8800.00
1306549871,Patricia Barberán Párraga,F,1973-05-30,2001-09-01,980.00,22000.00,5800.00
1307654321,Lucía Álava Pico,F,1975-09-14,2003-04-15,1020.00,19500.00,5400.00
1308901234,Mariana Intriago Solórzano,F,1977-12-08,2005-01-10,950.00,16000.00,4700.00
1301239874,Jorge Zambrano Vera,M,1979-06-22,2010-05-01,890.00,10500.00,3300.00
1302345678,Carmen Bailón Mero,F,1982-03-17,2012-08-15,850.00,8200.00,2700.00
1303456789,Teresa Quijije Lucas,F,1984-10-05,2014-02-01,820.00,6500.00,2200.00
1304561234,Diana Anchundia Reyes,F,1986-07-29,2016-06-15,780.00,4800.00,1700.00
1305672345,Manuel Chiquito Palma,M,1988-12-14,2018-01-10,750.00,3200.00,1300.00
1306783456,Verónica Holguín Castro,F,1990-04-03,2019-09-01,720.00,2100.00,900.00
1307894567,Sandra Pincay Pin,F,1992-08-19,2021-03-15,680.00,1200.00,550.00
1308905678,Elena Bravo García,F,1994-02-28,2022-07-01,650.00,700.00,350.00
1309016789,Víctor Hugo Mero,M,1996-11-11,2023-05-15,600.00,350.00,200.00
1310127890,Karen Meza Andrade,F,1998-05-06,2024-01-08,550.00,100.00,100.00
1311238901,Johanna Saltos Tubay,F,2000-09-21,2024-09-01,500.00,0.00,0.00
